Entrada: [1 1 1 1 1 1 1 0 0 0 1 1 1 1 1 1 1 1 1 0], Classe: Iris-virginica, Predição: Iris-virginica, Pontuações: {'Iris-versicolor': 2, 'Iris-setosa': 0, 'Iris-virginica': 4}
Entrada: [1 1 1 0 0 1 1 0 0 0 1 1 1 1 0 1 1 1 0 0], Classe: Iris-versicolor, Predição: Iris-versicolor, Pontuações: {'Iris-versicolor': 4, 'Iris-setosa': 0, 'Iris-virginica': 3}
Entrada: [1 1 1 0 0 1 1 0 0 0 1 1 1 1 0 1 1 1 0 0], Classe: Iris-virginica, Predição: Iris-versicolor, Pontuações: {'Iris-versicolor': 4, 'Iris-setosa': 0, 'Iris-virginica': 3}
Entrada: [1 1 1 0 0 1 1 1 0 0 1 1 1 1 0 1 1 1 1 0], Classe: Iris-versicolor, Predição: Iris-versicolor, Pontuações: {'Iris-versicolor': 4, 'Iris-setosa': 0, 'Iris-virginica': 4}
Entrada: [1 1 1 0 0 1 1 1 0 0 1 1 1 1 0 1 1 1 1 0], Classe: Iris-virginica, Predição: Iris-versicolor, Pontuações: {'Iris-versicolor': 4, 'Iris-setosa': 0, 'Iris-virginica': 4}
Entrada: [1 1 1 1 0 1 1 1 0 0 1 1 1 1 0 1 1 1 1 1], Classe: Iris-virginica, Predição: Iris-virginica, Pontuações: {'Iris-versicolor': 3, 'Iris-setosa': 0, 'Iris-virginica': 4}
Entrada: [1 1 0 0 0 1 0 0 0 0 1 1 1 0 0 1 1 1 0 0], Classe: Iris-versicolor, Predição: Iris-versicolor, Pontuações: {'Iris-versicolor': 4, 'Iris-setosa': 0, 'Iris-virginica': 3}
Entrada: [1 1 0 0 0 1 1 0 0 0 1 1 1 0 0 1 1 1 0 0], Classe: Iris-versicolor, Predição: Iris-versicolor, Pontuações: {'Iris-versicolor': 4, 'Iris-setosa': 0, 'Iris-virginica': 2}
Entrada: [1 1 0 0 0 1 1 1 0 0 1 0 0 0 0 1 0 0 0 0], Classe: Iris-setosa, Predição: Iris-setosa, Pontuações: {'Iris-versicolor': 3, 'Iris-setosa': 4, 'Iris-virginica': 0}
Entrada: [1 1 1 1 0 1 1 1 0 0 1 1 1 1 0 1 1 1 1 1], Classe: Iris-virginica, Predição: Iris-virginica, Pontuações: {'Iris-versicolor': 3, 'Iris-setosa': 0, 'Iris-virginica': 4}
Entrada: [1 1 1 0 0 1 1 1 1 1 1 0 0 0 0 1 0 0 0 0], Classe: Iris-setosa, Predição: Iris-setosa, Pontuações: {'Iris-versicolor': 2, 'Iris-setosa': 3, 'Iris-virginica': 1}
Entrada: [1 0 0 0 0 1 1 1 0 0 1 0 0 0 0 1 0 0 0 0], Classe: Iris-setosa, Predição: Iris-setosa, Pontuações: {'Iris-versicolor': 2, 'Iris-setosa': 4, 'Iris-virginica': 0}
Entrada: [1 1 1 1 0 1 1 0 0 0 1 1 1 1 1 1 1 1 1 0], Classe: Iris-virginica, Predição: Iris-virginica, Pontuações: {'Iris-versicolor': 3, 'Iris-setosa': 0, 'Iris-virginica': 4}
Entrada: [1 1 1 1 0 1 1 1 0 0 1 1 1 1 0 1 1 1 1 0], Classe: Iris-virginica, Predição: Iris-versicolor, Pontuações: {'Iris-versicolor': 4, 'Iris-setosa': 0, 'Iris-virginica': 4}
Entrada: [1 1 0 0 0 1 1 1 0 0 1 0 0 0 0 1 0 0 0 0], Classe: Iris-setosa, Predição: Iris-setosa, Pontuações: {'Iris-versicolor': 3, 'Iris-setosa': 4, 'Iris-virginica': 0}
Entrada: [1 1 1 0 0 1 1 1 0 0 1 1 1 1 0 1 1 1 1 1], Classe: Iris-virginica, Predição: Iris-virginica, Pontuações: {'Iris-versicolor': 3, 'Iris-setosa': 0, 'Iris-virginica': 4}
Entrada: [1 0 0 0 0 1 0 0 0 0 1 1 0 0 0 1 1 0 0 0], Classe: Iris-versicolor, Predição: Iris-versicolor, Pontuações: {'Iris-versicolor': 3, 'Iris-setosa': 3, 'Iris-virginica': 0}
Entrada: [1 1 0 0 0 1 1 1 1 0 1 0 0 0 0 1 0 0 0 0], Classe: Iris-setosa, Predição: Iris-setosa, Pontuações: {'Iris-versicolor': 2, 'Iris-setosa': 4, 'Iris-virginica': 0}
Entrada: [1 1 0 0 0 1 1 1 0 0 1 0 0 0 0 1 0 0 0 0], Classe: Iris-setosa, Predição: Iris-setosa, Pontuações: {'Iris-versicolor': 3, 'Iris-setosa': 4, 'Iris-virginica': 0}
