nome_tecnica,shape_treino,shape_teste,tempo_treino,tempo_teste,tempo_total
resnet18,"(50000, 512)","(10000, 512)",60.87589931488037,12.031589984893799,72.90748929977417
resnet50,"(50000, 2048)","(10000, 2048)",115.73148727416992,23.02253818511963,138.75402545928955
convnext,"(50000, 768)","(10000, 768)",138.3177170753479,28.557552337646484,166.87526941299438
inception_v3,"(50000, 2048)","(10000, 2048)",243.50217461585999,33.36971974372864,276.8718943595886
vgg16,"(50000, 25088)","(10000, 25088)",685.726226568222,102.4245285987854,788.1507551670074
stride_hd_2,"(50000, 768)","(10000, 768)",5.058606863021851,0.9750943183898926,6.033701181411743
stride_hd_4,"(50000, 192)","(10000, 192)",4.712545394897461,0.9339003562927246,5.6464457511901855
stride_hd_8,"(50000, 48)","(10000, 48)",4.5296266078948975,0.9045968055725098,5.434223413467407
stride_hd_16,"(50000, 12)","(10000, 12)",4.459964752197266,0.8882095813751221,5.348174333572388
fisher_vector,"(50000, 4112)","(10000, 4112)",54.272730588912964,9.487263441085815,63.75999402999878
vlad,"(50000, 2048)","(10000, 2048)",122.31476068496704,23.864448308944702,146.17920899391174
