execucao,modelo_base,tupla,acuracia,precisao,recall,f1,tempo_treino,tempo_teste,tempo_total,tamanho
1,basica,6,0.2584,0.34342244117760334,0.2584000000000001,0.2301825650731339,51.71640348434448,65.98751831054688,117.70392179489136,33779590
2,basica,6,0.2644,0.3472422588033632,0.2644,0.23317380748840694,50.654606103897095,66.96327090263367,117.61787700653076,33776170
3,basica,6,0.2657,0.3650371310469484,0.2657,0.23795829128409518,51.5386323928833,65.09075713157654,116.62938952445984,33776566
4,basica,6,0.2592,0.36307058380506596,0.2592,0.23135833520453244,51.4701943397522,64.82942366600037,116.29961800575256,33775318
5,basica,6,0.2651,0.35143516357729654,0.2651,0.23682690403727058,50.56641674041748,64.0970995426178,114.66351628303528,33783562
6,basica,6,0.2565,0.3447794099203383,0.2565,0.22805339462416976,51.03859305381775,64.43257904052734,115.47117209434509,33761566
7,basica,6,0.2621,0.36441565133276854,0.26209999999999994,0.23343051213106966,50.717732667922974,64.81257057189941,115.53030323982239,33774814
8,basica,6,0.2585,0.3656541641369361,0.2585,0.22955589184298378,50.46877884864807,64.73200058937073,115.2007794380188,33775990
9,basica,6,0.2676,0.36639303383981103,0.2676,0.2386010336436589,50.601906061172485,63.85284066200256,114.45474672317505,33777418
10,basica,6,0.2632,0.34897764832832356,0.2632,0.23347794742813494,50.90762281417847,64.1681821346283,115.07580494880676,33771994
1,basica,8,0.3045,0.3910799929269564,0.3045,0.27486054027847867,50.871634006500244,46.95600652694702,97.82764053344727,67933386
2,basica,8,0.3,0.4043780034027388,0.3,0.27139624184481553,50.41471219062805,47.700732707977295,98.11544489860535,67948398
3,basica,8,0.3075,0.40826793423084695,0.3075,0.2764356912481303,55.749860763549805,53.34839677810669,109.0982575416565,67924962
4,basica,8,0.3072,0.4018934890770779,0.30720000000000003,0.27794103188132147,56.206080198287964,53.38709998130798,109.59318017959595,67902330
5,basica,8,0.3053,0.3822319378003313,0.3053,0.2754351646170651,55.57095193862915,53.247278690338135,108.81823062896729,67904274
6,basica,8,0.3033,0.3771467698842826,0.3033,0.26981815676150733,55.4906849861145,52.83265733718872,108.32334232330322,67966458
7,basica,8,0.2996,0.3928722776683164,0.2996,0.2695657467010358,55.17018675804138,51.64708113670349,106.81726789474487,67938294
8,basica,8,0.3038,0.3852820996123117,0.3038,0.27120164480138736,203.25101017951965,87.70181012153625,290.9528203010559,67958238
9,basica,8,0.3008,0.38244504860896333,0.3008,0.26953464866352983,84.83224701881409,91.84865117073059,176.68089818954468,67925346
10,basica,8,0.3051,0.4033183523241721,0.3051,0.27737360567668434,84.36698508262634,101.53640079498291,185.90338587760925,67920330
1,basica,12,0.38,0.44007136203673325,0.38,0.3624913963162942,87.97516894340515,83.32413959503174,171.2993085384369,197921786
2,basica,12,0.3773,0.4473640987459402,0.3773,0.35974466042652053,92.46897625923157,119.7165470123291,212.18552327156067,197633666
