execucao,modelo_base,tupla,acuracia,precisao,recall,f1,tempo_treino,tempo_teste,tempo_total,tamanho
1,stride8,6,0.2205,0.23586135243944564,0.2205,0.22180397571542088,0.5586035251617432,2.6175501346588135,3.1761536598205566,451462
2,stride8,6,0.2213,0.23452168256279685,0.2213,0.222549766851264,0.5604984760284424,2.686831474304199,3.2473299503326416,452446
3,stride8,6,0.2162,0.23403031059564436,0.2162,0.21737758104742752,0.5581836700439453,2.7033443450927734,3.2615280151367188,450754
4,stride8,6,0.2141,0.22855384551166305,0.2141,0.21516402154561817,0.5524742603302002,2.694478750228882,3.246953010559082,448030
5,stride8,6,0.2149,0.22972114407531302,0.2149,0.21569233540561594,0.5810039043426514,2.6257553100585938,3.206759214401245,454570
6,stride8,6,0.2215,0.2353258185121828,0.22150000000000003,0.22219871504679692,0.5525734424591064,2.6687090396881104,3.221282482147217,451870
7,stride8,6,0.2229,0.23968306426279895,0.22290000000000001,0.22387872295967912,0.5525615215301514,2.6788549423217773,3.2314164638519287,456094
8,stride8,6,0.2167,0.23112380113755995,0.21669999999999998,0.21779043303020068,0.5587472915649414,2.7085814476013184,3.2673287391662598,451858
9,stride8,6,0.2186,0.23245605881073753,0.2186,0.21975851641389013,0.5581693649291992,2.70989727973938,3.268066644668579,456166
10,stride8,6,0.2204,0.23712307611565303,0.2204,0.2221652217325011,0.557274580001831,2.7030527591705322,3.2603273391723633,452710
1,stride8,8,0.2253,0.23598266844562313,0.2253,0.2258309816807838,0.5793964862823486,1.162893533706665,1.7422900199890137,799182
2,stride8,8,0.2321,0.24241128497232017,0.23210000000000003,0.23304463302451756,0.581127405166626,1.16489577293396,1.746023178100586,801906
3,stride8,8,0.2255,0.23605951341470927,0.22549999999999998,0.22629418651391728,0.5859301090240479,1.1664643287658691,1.752394437789917,796770
4,stride8,8,0.2285,0.23961212715688918,0.2285,0.23072200399627887,0.5891482830047607,1.1882898807525635,1.7774381637573242,793350
5,stride8,8,0.228,0.23921022821531412,0.22799999999999998,0.22855813296881103,0.5793485641479492,1.1825077533721924,1.7618563175201416,799674
6,stride8,8,0.2318,0.24401080553578,0.2318,0.2332721997299625,0.5797061920166016,1.180696964263916,1.7604031562805176,800910
7,stride8,8,0.2247,0.23603479363115687,0.22469999999999998,0.22596958875951922,0.580348014831543,1.1612370014190674,1.7415850162506104,807714
8,stride8,8,0.2251,0.23978767921967017,0.22510000000000002,0.22604189149063947,0.589893102645874,1.163264513015747,1.753157615661621,812382
9,stride8,8,0.2229,0.23651477263031406,0.22290000000000001,0.2249607562250937,0.5769495964050293,1.1759860515594482,1.7529356479644775,800238
10,stride8,8,0.2247,0.2347952917639759,0.22470000000000004,0.22555322440775688,0.5759518146514893,1.18495512008667,1.7609069347381592,803658
1,stride8,12,0.2422,0.25223204271817706,0.24220000000000003,0.24328251991432265,0.6313488483428955,0.5886545181274414,1.220003366470337,2037854
2,stride8,12,0.2436,0.25475410561921114,0.24359999999999998,0.24569084857443335,0.6371965408325195,0.5813093185424805,1.218505859375,2018210
3,stride8,12,0.2445,0.2500731019604393,0.2445,0.24487534877931783,0.6491010189056396,0.5950586795806885,1.2441596984863281,2022122
4,stride8,12,0.2554,0.2643251428093044,0.25539999999999996,0.2557707231210171,0.6303372383117676,0.5857818126678467,1.2161190509796143,2032598
5,stride8,12,0.253,0.2617237281761823,0.253,0.25381757614722894,0.6350507736206055,0.6026008129119873,1.2376515865325928,2009882
6,stride8,12,0.2463,0.2558566533236628,0.24630000000000005,0.24747288404246484,0.6330935955047607,0.5924272537231445,1.2255208492279053,2022242
7,stride8,12,0.2449,0.25217160222769863,0.24490000000000003,0.24597225091928773,0.649665355682373,0.5874068737030029,1.237072229385376,2020022
8,stride8,12,0.2491,0.2564336133683469,0.24909999999999996,0.24933844729273744,0.6609282493591309,0.5890896320343018,1.2500178813934326,2010266
9,stride8,12,0.2559,0.26420297445640656,0.2559,0.2563355994135773,0.637322187423706,0.6005344390869141,1.2378566265106201,2015954
10,stride8,12,0.2535,0.2635090193071479,0.2535,0.2555672750008232,0.6731674671173096,0.5939784049987793,1.2671458721160889,2025446
1,stride8,20,0.2814,0.2809601549549397,0.2814,0.2803968545366806,0.6890194416046143,0.586686372756958,1.2757058143615723,4928890
2,stride8,20,0.2841,0.28623864087765527,0.2841,0.2833025175716696,0.6868329048156738,0.5826008319854736,1.2694337368011475,4912414
3,stride8,20,0.2849,0.2856063448950798,0.2849,0.2835312155211101,0.6823875904083252,0.5838966369628906,1.2662842273712158,4922674
4,stride8,20,0.2811,0.280180165871725,0.2811,0.2791523233887017,0.7109932899475098,0.5967049598693848,1.3076982498168945,4902274
5,stride8,20,0.2683,0.27423102907986213,0.2683,0.2677792160656092,0.7013528347015381,0.5768353939056396,1.2781882286071777,4949902
6,stride8,20,0.2789,0.28029098997420976,0.27890000000000004,0.2750758827897802,0.678368091583252,0.5732402801513672,1.2516083717346191,4884778
7,stride8,20,0.2716,0.27389575782037073,0.2716,0.2707398209764914,0.8281323909759521,0.5835530757904053,1.4116854667663574,4893706
8,stride8,20,0.2811,0.2813274883063462,0.2811,0.2797626854938834,0.6848142147064209,0.5721273422241211,1.256941556930542,4871362
9,stride8,20,0.2847,0.2869692633932534,0.2847,0.28188307365051585,0.6852211952209473,0.5816905498504639,1.2669117450714111,4897786
10,stride8,20,0.281,0.28363785263434205,0.281,0.2803184314168724,0.7401716709136963,0.6380431652069092,1.3782148361206055,4963582
