execucao,modelo_base,tupla,acuracia,precisao,recall,f1,tempo_treino,tempo_teste,tempo_total,tamanho
1,vgg16,6,0.3373,0.6279646774788817,0.33730000000000004,0.31493663634791624,413.02261877059937,353.889755487442,766.9123742580414,182109770
2,vgg16,6,0.3285,0.6264206407647586,0.3285,0.30784778965823484,414.8516192436218,355.93373942375183,770.7853586673737,182089466
3,vgg16,6,0.3301,0.6196530361585703,0.3301,0.3081045628446069,413.2283139228821,353.7603495121002,766.9886634349823,182099858
4,vgg16,6,0.3391,0.6401702542660391,0.3391,0.3194013011410384,412.5530276298523,354.4972960948944,767.0503237247467,182102474
5,vgg16,6,0.3381,0.6315350193579771,0.3381,0.31691406346458106,412.4003803730011,354.5979890823364,766.9983694553375,182110070
6,vgg16,6,0.3383,0.6252904662941233,0.3383,0.31745347334827145,412.4688813686371,354.3843767642975,766.8532581329346,182112794
7,vgg16,6,0.3394,0.6317403687592551,0.33940000000000003,0.31786451525057513,412.6140778064728,354.8135759830475,767.4276537895203,182113274
8,vgg16,6,0.3359,0.6304174894521812,0.3359,0.3129737609541052,412.67664861679077,354.60306668281555,767.2797152996063,182082266
9,vgg16,6,0.3315,0.6296992222455031,0.3315,0.31093991790843134,414.98662281036377,355.948766708374,770.9353895187378,182134982
10,vgg16,6,0.3355,0.628211761834079,0.3355,0.3158987022998876,414.50843381881714,354.37677025794983,768.885204076767,182120078
1,vgg16,8,0.3897,0.68510678772672,0.3897,0.37539067528014874,410.1569137573242,304.78128266334534,714.9381964206696,320081070
2,vgg16,8,0.3901,0.6972127542801145,0.3901,0.37589278807110726,409.7990183830261,305.0557041168213,714.8547224998474,320087922
3,vgg16,8,0.389,0.6935276762750144,0.389,0.3748083561066281,412.4197952747345,306.12757086753845,718.547366142273,320086542
4,vgg16,8,0.3885,0.6955225972026355,0.3885,0.37631974643836064,409.9773097038269,304.5206241607666,714.4979338645935,320127090
5,vgg16,8,0.388,0.6951607741303815,0.388,0.3729682719055167,412.4732253551483,306.18785309791565,718.661078453064,320183166
