execucao,modelo_base,tupla,acuracia,precisao,recall,f1,tempo_treino,tempo_teste,tempo_total,tamanho
1,vgg16,64,0.2562,0.29333716943103383,0.25620000000000004,0.2139075905340604,357.961519241333,204.60125160217285,562.5627708435059,1896239538
2,vgg16,64,0.2544,0.28931430222958343,0.25440000000000007,0.212827124977996,356.3908929824829,205.69012808799744,562.0810210704803,1896196950
3,vgg16,64,0.2544,0.2971031140431773,0.25439999999999996,0.21225723645217184,356.0956575870514,205.52183866500854,561.6174962520599,1896220134
4,vgg16,64,0.2586,0.30079993917330083,0.2586,0.2156053927048187,353.4229097366333,203.33725142478943,556.7601611614227,1896219582
5,vgg16,64,0.2545,0.28738890755077207,0.2545,0.2112354071844867,356.0344178676605,203.1962034702301,559.2306213378906,1896178398
6,vgg16,64,0.2564,0.2899572715167445,0.2564,0.2136042254445305,351.04454612731934,199.098477602005,550.1430237293243,1896227190
7,vgg16,64,0.2606,0.2941065138636043,0.2606,0.21751347945538635,351.42811846733093,198.21212768554688,549.6402461528778,1896228474
8,vgg16,64,0.2476,0.28615444121174194,0.24760000000000004,0.2052891411310605,350.3493528366089,198.05323576927185,548.4025886058807,1896219702
9,vgg16,64,0.2524,0.2850123977521276,0.2524,0.20888705062430227,350.49005246162415,199.32664823532104,549.8167006969452,1896229986
10,vgg16,64,0.2522,0.2805775411405072,0.25220000000000004,0.20848297155830603,350.61638164520264,198.07034063339233,548.686722278595,1896247134
