execucao,modelo_base,acuracia,precisao,recall,f1,erro_treino,media_erro_treino,erro_teste,tempo_treino,tempo_teste,tempo_total
1,vgg16,0.9068,0.9100601468112182,0.9068000000000002,0.9069800401938221,0.09416415336091652,0.16949650182597434,0.3909487941177787,9299.003456830978,41.40210461616516,9340.405561447144
2,vgg16,0.9151,0.9172674140169752,0.9151,0.9153797540855351,0.08225483857952726,0.16810722929908964,0.3514692480112337,9293.040927171707,41.12769556045532,9334.168622732162
3,vgg16,0.9198,0.919951513003466,0.9198000000000001,0.9191744137992142,0.0834508707359507,0.1683241071281137,0.29826914044512304,9286.932452440262,39.99450755119324,9326.926959991455
4,vgg16,0.9185,0.919283971678689,0.9185000000000001,0.9183682668738127,0.09218304235037997,0.16964734771393344,0.32911383309609193,9280.173331022263,40.053677797317505,9320.22700881958
5,vgg16,0.9112,0.9140176084900885,0.9112,0.9111979253574779,0.08739756492783538,0.16951983800397682,0.36794004864563606,9282.69129228592,40.023035764694214,9322.714328050613
6,vgg16,0.9077,0.908963995442132,0.9077,0.9068972536570504,0.08029361650877087,0.16833155946092002,0.36211792989426356,9284.924924850464,41.0620174407959,9325.98694229126
7,vgg16,0.9223,0.9225855337888526,0.9223000000000001,0.9220854703338961,0.08440192050897204,0.1671025187332544,0.3207143302888248,9305.138664484024,41.24032163619995,9346.378986120224
8,vgg16,0.9124,0.9137510890457875,0.9124000000000001,0.9121253336567128,0.0861511280208015,0.1681574102790019,0.33648655487663426,9305.754606246948,40.101781368255615,9345.856387615204
9,vgg16,0.9175,0.9186538119595145,0.9175000000000001,0.9174548939363358,0.09806555930270201,0.1689320981637805,0.3298561193143866,9301.791228532791,40.173949241638184,9341.96517777443
10,vgg16,0.9157,0.9173897611570968,0.9157,0.9157971179703923,0.09680769392042099,0.16939376670506345,0.3604148593345645,9302.149450302124,40.110910177230835,9342.260360479355
