execucao,modelo_base,tupla,acuracia,precisao,recall,f1,tempo_treino,tempo_teste,tempo_total,tamanho
1,escala_de_cinza,6,0.2295,0.28397188176032173,0.22949999999999998,0.2033534371294951,13.40373158454895,19.04052734375,32.44425892829895,11302858
2,escala_de_cinza,6,0.2356,0.29728132554445624,0.23559999999999998,0.20667991470629848,13.379928827285767,18.780060052871704,32.15998888015747,11305294
3,escala_de_cinza,6,0.2281,0.28000574244678017,0.22810000000000002,0.19969006367093112,13.454588174819946,18.849952936172485,32.30454111099243,11315638
4,escala_de_cinza,6,0.228,0.2777489861638732,0.22800000000000004,0.1977126446878107,13.222619771957397,18.625997066497803,31.8486168384552,11301502
5,escala_de_cinza,6,0.2289,0.2939791622703119,0.22889999999999996,0.20110443204601683,13.190444469451904,18.55873966217041,31.749184131622314,11299978
6,escala_de_cinza,6,0.229,0.27741975507656713,0.229,0.20047923878842044,13.38127613067627,19.247671842575073,32.62894797325134,11299690
7,escala_de_cinza,6,0.2284,0.3051893935671135,0.2284,0.2034807348682067,13.35760235786438,18.823088884353638,32.18069124221802,11304310
8,escala_de_cinza,6,0.2342,0.28802784214378163,0.23419999999999996,0.20620437329157756,13.288610935211182,18.82644772529602,32.1150586605072,11309686
9,escala_de_cinza,6,0.2262,0.29063972311245456,0.2262,0.1987086535066908,13.30462908744812,18.93400764465332,32.23863673210144,11298130
10,escala_de_cinza,6,0.2277,0.2946229110023535,0.2277,0.2002844682406264,13.440918445587158,18.907321453094482,32.34823989868164,11316214
1,escala_de_cinza,8,0.2621,0.3232004851053648,0.26209999999999994,0.23308651262648622,14.348894357681274,13.607487440109253,27.956381797790527,22771994
2,escala_de_cinza,8,0.2608,0.3181518232254769,0.2608,0.2293326014150116,14.367868185043335,13.652848720550537,28.020716905593872,22787006
3,escala_de_cinza,8,0.2601,0.31582035104571754,0.2601,0.22976852256983796,14.326670408248901,13.609353065490723,27.936023473739624,22753046
4,escala_de_cinza,8,0.2631,0.3126541162220251,0.2631,0.2319655637446653,14.529009580612183,13.66940712928772,28.198416709899902,22781414
5,escala_de_cinza,8,0.2641,0.3223731168116733,0.2641,0.23361039380743956,14.185016632080078,13.356266975402832,27.54128360748291,22797398
6,escala_de_cinza,8,0.2619,0.3116620633729837,0.26189999999999997,0.23065530972787415,14.348226547241211,13.621484994888306,27.969711542129517,22812482
7,escala_de_cinza,8,0.2584,0.31388437014342435,0.25839999999999996,0.22767321112531774,14.363558769226074,13.724063873291016,28.08762264251709,22786094
8,escala_de_cinza,8,0.2593,0.3188122962712587,0.2593,0.2300537917269775,14.363527297973633,13.67600703239441,28.039534330368042,22772474
9,escala_de_cinza,8,0.2645,0.3220522684228016,0.26449999999999996,0.23641992253076824,14.30984354019165,13.383834600448608,27.69367814064026,22758206
10,escala_de_cinza,8,0.2626,0.32979331253959726,0.26259999999999994,0.23483283460081245,14.27275562286377,13.397980690002441,27.67073631286621,22805486
1,escala_de_cinza,12,0.3141,0.3617325763941619,0.3141,0.29244345091129853,14.747149467468262,12.74572229385376,27.49287176132202,65988218
2,escala_de_cinza,12,0.3248,0.36792090418850754,0.3247999999999999,0.30390295257114935,14.95561170578003,13.111069917678833,28.066681623458862,65908118
3,escala_de_cinza,12,0.3249,0.371403031128818,0.3249,0.30693535919874876,14.947904586791992,13.053265571594238,28.00117015838623,66086246
4,escala_de_cinza,12,0.3177,0.367121886432796,0.31770000000000004,0.2976245010560275,14.800837278366089,12.820422649383545,27.621259927749634,65987198
5,escala_de_cinza,12,0.3247,0.3681971625531335,0.3247,0.3039415784678018,14.956403017044067,13.208700180053711,28.16510319709778,65985194
6,escala_de_cinza,12,0.3166,0.3604470452200658,0.31660000000000005,0.294204805339416,15.04942774772644,13.108143091201782,28.157570838928223,66020930
7,escala_de_cinza,12,0.3189,0.36702005962072315,0.3189000000000001,0.29610209098763773,14.829935073852539,12.907580375671387,27.737515449523926,65871326
8,escala_de_cinza,12,0.3206,0.3630995854717214,0.32060000000000005,0.2984924086092112,14.890810489654541,12.864596128463745,27.755406618118286,65866106
9,escala_de_cinza,12,0.3195,0.36910898404023756,0.3195,0.30060238365013314,14.86783218383789,12.959787130355835,27.827619314193726,65956430
10,escala_de_cinza,12,0.3165,0.36189076818692895,0.31649999999999995,0.2962167565817107,15.03756833076477,12.901887655258179,27.93945598602295,65906990
1,escala_de_cinza,20,0.3825,0.3856574019495111,0.3825,0.3781608084156146,13.743313074111938,12.375209331512451,26.11852240562439,143892562
2,escala_de_cinza,20,0.3852,0.3890135826630221,0.3852,0.37980398272347804,13.970568418502808,12.748181581497192,26.71875,144130726
