execucao,modelo_base,tupla,acuracia,precisao,recall,f1,tempo_treino,tempo_teste,tempo_total,tamanho
1,inception,6,0.6361,0.678899715243755,0.6361,0.6465762501866454,31.336852073669434,31.965375900268555,63.30222797393799,22437550
2,inception,6,0.6315,0.6786210204549652,0.6315,0.6423254470428235,31.432309865951538,32.58660817146301,64.01891803741455,22440082
3,inception,6,0.6374,0.6851573209083841,0.6374000000000001,0.6484414509134024,32.683276891708374,33.40532994270325,66.08860683441162,22444270
4,inception,6,0.6359,0.6806310142877205,0.6359000000000001,0.6463610229010801,32.275198221206665,34.26813244819641,66.54333066940308,22448290
5,inception,6,0.6373,0.6830363047272564,0.6373,0.6481701952312183,35.5463662147522,38.25880312919617,73.80516934394836,22440766
6,inception,6,0.6355,0.6817639731670098,0.6355000000000001,0.6462552849484486,35.03509449958801,38.12440252304077,73.15949702262878,22431514
7,inception,6,0.6327,0.6822684454383465,0.6327,0.6444538684125657,35.17890930175781,38.261444330215454,73.44035363197327,22437430
8,inception,6,0.6313,0.6768414990273679,0.6313,0.6422361077801907,35.34163951873779,38.117828369140625,73.45946788787842,22452706
9,inception,6,0.641,0.6855285685826769,0.6409999999999999,0.6514922629462587,35.20540475845337,38.18499422073364,73.39039897918701,22428430
10,inception,6,0.6396,0.6807260965655167,0.6396,0.6498470780577786,35.22493624687195,38.184752225875854,73.4096884727478,22438006
1,inception,8,0.7214,0.7524628731119458,0.7214,0.7289043512112453,35.39158582687378,32.03532934188843,67.4269151687622,46348306
2,inception,8,0.727,0.754041836672944,0.7270000000000001,0.7332068177519101,35.49642753601074,31.606852531433105,67.10328006744385,46371142
3,inception,8,0.7283,0.7580866643667254,0.7283000000000001,0.7352057430030119,35.792463064193726,31.969511032104492,67.76197409629822,46356922
4,inception,8,0.7257,0.753764718630281,0.7257,0.7326263649969185,36.02476525306702,31.968761444091797,67.99352669715881,46340302
5,inception,8,0.7237,0.7537028242940831,0.7237,0.7306216262724496,35.99183917045593,32.22724914550781,68.21908831596375,46347286
6,inception,8,0.7278,0.7567499845516619,0.7277999999999999,0.7346875790881109,36.12505340576172,31.492092609405518,67.61714601516724,46344886
7,inception,8,0.7287,0.7583371355261554,0.7287,0.735899021958265,35.453680992126465,31.408010959625244,66.86169195175171,46363438
8,inception,8,0.7241,0.7530704701227638,0.7241,0.7308453904153037,35.40406775474548,31.393929719924927,66.79799747467041,46334926
9,inception,8,0.7269,0.7542871918210037,0.7268999999999999,0.7331659454975148,35.023587226867676,30.978785037994385,66.00237226486206,46339522
10,inception,8,0.7272,0.7551170678871173,0.7272,0.7340708559697294,35.0450541973114,30.953492641448975,65.99854683876038,46321222
1,inception,12,0.7804,0.7952330554368173,0.7804,0.7841709858356242,34.72951579093933,29.581701517105103,64.31121730804443,150490750
2,inception,12,0.7811,0.7955311153629371,0.7810999999999999,0.7846497863024343,34.696897983551025,29.3411648273468,64.03806281089783,150347626
3,inception,12,0.7793,0.7926450644370585,0.7792999999999999,0.7826479047874232,34.2466037273407,29.414169788360596,63.660773515701294,150606442
4,inception,12,0.7774,0.7920136273249115,0.7774000000000001,0.7810645906115601,34.25277495384216,29.45004892349243,63.702823877334595,150324394
5,inception,12,0.7773,0.791758255557646,0.7773,0.7809203864236294,34.54025721549988,29.690932512283325,64.2311897277832,150381466
6,inception,12,0.781,0.7949387084563336,0.781,0.7845215145100455,34.563565731048584,29.678972959518433,64.24253869056702,150522286
7,inception,12,0.7759,0.7915088218946769,0.7759,0.7798426248268546,34.18783235549927,29.559906721115112,63.74773907661438,150289954
8,inception,12,0.7814,0.7961879947242985,0.7814,0.7850611477424644,34.326146602630615,29.354007482528687,63.6801540851593,150340990
9,inception,12,0.7757,0.7919134437976509,0.7757,0.7798499658995486,34.580946922302246,29.460163831710815,64.04111075401306,150427378
10,inception,12,0.7784,0.7938157869261313,0.7784000000000001,0.782138384576111,34.59548258781433,29.639507293701172,64.2349898815155,150180142
1,inception,20,0.7876,0.7915026270856258,0.7876,0.7879027646636614,32.53274846076965,28.77033829689026,61.30308675765991,358872602
2,inception,20,0.7888,0.791877439437562,0.7888,0.7890901506858008,32.83175754547119,29.197078466415405,62.0288360118866,359007770
3,inception,20,0.7879,0.7922320682849667,0.7878999999999999,0.7883731469148305,32.83663845062256,29.410234212875366,62.246872663497925,358779998
4,inception,20,0.7867,0.7900718276259823,0.7867,0.7869887497968445,32.752411127090454,29.383915424346924,62.13632655143738,358991678
5,inception,20,0.7859,0.7902895119042982,0.7858999999999999,0.7864655836829186,32.62467622756958,29.108426332473755,61.733102560043335,358898378
6,inception,20,0.786,0.7893950710188327,0.786,0.786261246582161,32.26186561584473,28.524603605270386,60.78646922111511,358792922
7,inception,20,0.7874,0.7912544158113584,0.7874,0.7878521713725327,32.240453481674194,28.679131031036377,60.91958451271057,358903430
8,inception,20,0.7873,0.7902720409112673,0.7873,0.7875448905592901,32.708794355392456,29.16388487815857,61.872679233551025,358975586
9,inception,20,0.7888,0.7915183444282097,0.7888,0.7887882852341452,32.837379455566406,29.26725172996521,62.104631185531616,359008478
10,inception,20,0.7874,0.7915054922903162,0.7873999999999999,0.7878386632534029,32.635223150253296,28.609017848968506,61.2442409992218,358842962
1,inception,32,0.6451,0.6482296169597057,0.6451,0.6385798380546913,25.531595945358276,20.738052129745483,46.26964807510376,304714954
2,inception,32,0.6299,0.6320073133341851,0.6298999999999999,0.6221821308000506,25.54135775566101,20.725281953811646,46.266639709472656,304661350
3,inception,32,0.6471,0.6511326469451115,0.6470999999999999,0.6415394383720697,25.80218529701233,21.353044748306274,47.1552300453186,304661638
